STATION,STATION_NAME,DATE,MDPR,MDSF,DAPR,DASF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT05,WT11,WT04,WT03
GHCND:USC00319467,WILMINGTON 7 N NC US,19720409,-9999,-9999,-9999,-9999,0.00,0.0,0.0,45,28,40,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720410,-9999,-9999,-9999,-9999,0.00,0.0,0.0,56,26,54,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720411,-9999,-9999,-9999,-9999,0.00,0.0,0.0,71,51,64,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720412,-9999,-9999,-9999,-9999,0.00,0.0,0.0,78,53,63,-9999,-9999,-9999,-9999,1
GHCND:USC00319467,WILMINGTON 7 N NC US,19720413,-9999,-9999,-9999,-9999,0.69,0.0,0.0,76,58,75,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720414,-9999,-9999,-9999,-9999,0.00,0.0,0.0,87,64,77,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720415,-9999,-9999,-9999,-9999,0.00,0.0,0.0,91,62,81,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720416,-9999,-9999,-9999,-9999,0.00,0.0,0.0,93,65,78,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720417,-9999,-9999,-9999,-9999,0.00,0.0,0.0,91,58,70,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720418,-9999,-9999,-9999,-9999,0.00,0.0,0.0,80,44,68,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720419,-9999,-9999,-9999,-9999,0.00,0.0,0.0,79,44,72,-9999,-9999,-9999,-9999,-9999
